"day","avg_score","check_count"
2026-02-17,88.88888888888889,765
2026-02-18,81.71981776765377,878
2026-02-19,78.74880611270297,1047
2026-02-20,77.11864406779661,1180
2026-02-21,77.27272727272727,1078
2026-02-22,80.87027914614121,1218
2026-02-23,80.83333333333333,660
